Date,Count
2020-01-21,3
2020-02-11,3
2020-03-04,5
2020-05-14,21
2020-06-10,29
2020-07-09,7
2020-08-06,2
2020-09-16,0
2020-10-15,2
2020-11-17,7
2020-12-18,0
