Date,Count
2015-01-29,2
2015-02-12,3
2015-03-12,45
2015-04-21,74
2015-05-21,95
2015-06-16,80
2015-07-22,19
2015-08-05,12
2015-09-25,6
2015-10-27,17
2015-11-26,2
