Date,Count
2015-01-15,1
2015-02-12,0
2015-03-13,9
2015-04-30,32
2015-05-28,41
2015-06-29,9
2015-07-27,6
2015-08-31,2
2015-09-21,18
2015-10-26,10
2015-11-30,1
2015-12-17,5
