Date,Count
2015-01-21,0
2015-02-18,0
2015-04-23,2
2015-05-13,3
2015-06-08,2
2015-06-29,1
2015-08-03,0
2015-09-28,1
2015-10-19,1
2015-11-18,0
2015-12-02,1
