Date,Count
2019-01-24,11
2019-02-19,41
2019-03-20,82
2019-04-17,151
2019-05-23,244
2019-06-07,151
2019-07-11,39
2019-08-14,0
2019-09-17,2
2019-10-17,25
2019-11-15,39
2019-12-18,39
